,country,points,price,province,taster_name,variety,winery
2,US,87,14.0,Oregon,Paul Gregutt,Pinot Gris,Rainstorm
91,US,88,18.0,California,Virginie Boone,Pinot Gris,Folie à Deux
100,US,88,18.0,New York,Anna Lee C. Iijima,Pinot Gris,Ventosa
641,US,92,25.0,California,Virginie Boone,Pinot Gris,Les Belles Collines
858,US,90,15.0,Oregon,Paul Gregutt,Pinot Gris,Firesteed
916,US,87,20.0,Oregon,Paul Gregutt,Pinot Gris,Coelho
988,US,88,20.0,Oregon,Paul Gregutt,Pinot Gris,Lachini
998,US,88,18.0,Oregon,Paul Gregutt,Pinot Gris,The Four Graces
1020,US,88,14.0,Oregon,Paul Gregutt,Pinot Gris,Stanton Vineyard
1026,US,88,13.0,Oregon,Paul Gregutt,Pinot Gris,Firesteed
1123,US,84,40.0,Washington,Sean P. Sullivan,Pinot Gris,Wilridge
1180,US,88,26.0,California,Jim Gordon,Pinot Gris,Balo
1652,US,85,18.0,Oregon,Paul Gregutt,Pinot Gris,Oak Knoll
1683,US,90,16.0,Oregon,Paul Gregutt,Pinot Gris,Lange
1900,US,89,18.0,Oregon,Paul Gregutt,Pinot Gris,Daedalus
2345,US,85,15.0,California,Jim Gordon,Pinot Gris,McFadden
2430,US,85,14.0,Oregon,Paul Gregutt,Pinot Gris,Erath
2628,US,82,13.0,Oregon,Paul Gregutt,Pinot Gris,Emerson
3368,US,92,41.0,Oregon,Paul Gregutt,Pinot Gris,The Eyrie Vineyards
3380,US,92,20.0,Oregon,Paul Gregutt,Pinot Gris,Raptor Ridge
4340,US,90,19.0,Oregon,Paul Gregutt,Pinot Gris,Sokol Blosser
4680,US,91,24.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
4809,US,85,18.0,Oregon,Paul Gregutt,Pinot Gris,LaVelle
4820,US,85,15.0,Washington,Paul Gregutt,Pinot Gris,Mercer
5039,US,91,25.0,California,Jim Gordon,Pinot Gris,FEL
5159,US,87,17.0,Oregon,Paul Gregutt,Pinot Gris,Evergreen Vineyards
5481,US,86,18.0,Oregon,Sean P. Sullivan,Pinot Gris,Wy'East Vineyards
6000,US,90,20.0,California,Virginie Boone,Pinot Gris,MacMurray Estate Vineyards
