,rated,turns,winner,white_rating,black_rating,opening_ply
0,False,13,white,1500,1191,5
2,True,61,white,1496,1500,3
3,True,61,white,1439,1454,3
4,True,95,white,1523,1469,5
6,True,33,white,1520,1423,10
9,True,119,white,1381,1209,4
10,False,39,white,1381,1272,1
14,False,31,white,1094,1141,8
19,False,25,white,1500,1094,2
21,False,3,white,1094,1068,2
22,False,17,white,1500,1094,3
23,True,36,white,1307,1106,4
25,True,69,white,1078,1219,4
26,True,43,white,1825,1079,8
32,True,54,white,1203,1019,3
34,False,11,white,1422,975,3
36,True,28,white,1569,978,10
38,False,37,white,1500,978,17
39,False,34,white,2449,978,3
42,False,30,white,1500,978,3
43,False,66,white,2443,978,17
44,False,41,white,1500,978,3
45,False,49,white,1500,978,3
47,False,7,white,1343,978,3
48,False,35,white,2436,978,17
49,False,41,white,2436,978,4
51,False,7,white,1500,978,4
52,False,53,white,978,1500,2
54,True,8,white,1521,1162,2
55,True,3,white,1407,1500,3
56,True,28,white,1492,1458,5
59,True,29,white,1525,1466,6
61,True,49,white,1567,1573,2
63,True,25,white,1939,1581,6
65,True,39,white,1755,1574,2
66,True,57,white,1561,1596,2
68,True,61,white,1544,1461,3
71,True,87,white,1617,1590,2
74,True,37,white,1855,1599,5
75,True,50,white,1589,1547,2
76,True,131,white,1571,1728,5
77,True,48,white,1720,1579,3
80,True,61,white,1552,1436,3
81,True,57,white,1536,1667,5
82,True,51,white,1521,1549,2
84,True,71,white,1537,1408,3
85,True,114,white,1522,1512,1
86,True,39,white,1602,1532,11
90,True,51,white,1539,1418,5
91,True,69,white,1603,1550,3
92,True,28,white,1542,1399,4
95,True,85,white,1513,1784,2
96,True,38,white,1501,1445,5
97,False,14,white,1500,1500,8
99,True,62,white,1734,1748,4
100,True,101,white,1942,1739,6
101,True,75,white,1724,1855,7
102,True,135,white,1951,1729,11
103,True,81,white,1726,1388,5
106,True,39,white,1743,1738,10
107,True,91,white,1721,1750,7
108,True,137,white,1746,1487,5
113,True,111,white,1729,1795,5
115,True,33,white,1770,1872,3
119,True,49,white,1724,1958,5
121,True,59,white,1706,925,5
123,True,23,white,1215,921,5
130,True,37,white,1433,1282,3
132,False,47,white,1276,1308,6
135,True,9,white,1338,1277,3
136,True,47,white,1263,1336,8
137,True,85,white,1316,1273,2
138,True,39,white,1248,1253,2
140,True,95,white,1223,1189,11
142,True,97,white,1227,1216,4
144,True,30,white,1227,1227,8
145,True,43,white,1550,1225,8
146,True,11,white,1325,1234,2
150,False,77,white,1191,1228,7
152,True,35,white,1186,1223,5
153,True,85,white,1212,1212,2
155,True,111,white,1865,1862,5
156,True,65,white,1852,1852,5
157,True,73,white,1833,1863,4
158,True,125,white,1851,1918,4
160,True,65,white,1853,1774,6
161,True,41,white,1910,1862,11
162,True,59,white,1851,1890,3
164,True,34,white,1828,1848,5
165,True,69,white,1855,1858,1
166,True,63,white,1847,1895,8
167,True,107,white,1885,1856,4
168,True,58,white,1847,1802,1
174,True,105,white,1895,1859,4
179,True,77,white,1849,1874,11
182,True,117,white,1856,1829,12
183,True,44,white,1845,1846,8
185,True,59,white,1846,1845,2
194,True,53,white,1331,1281,4
195,True,39,white,1304,1292,1
197,True,51,white,1308,1317,8
201,True,59,white,1500,1299,7
202,True,111,white,1288,1232,3
204,False,101,white,1431,1289,6
205,False,15,white,1806,1289,7
206,False,42,white,1289,1311,5
211,False,21,white,1289,1500,5
212,True,73,white,1409,1297,8
213,True,159,white,1280,1485,6
214,False,74,white,1280,1211,4
222,True,37,white,1221,1417,11
224,True,113,white,1232,1234,7
225,True,55,white,1240,1219,8
226,True,135,white,1590,1600,5
228,True,97,white,1500,1358,6
232,True,91,white,1377,1249,4
233,True,53,white,1375,1389,4
234,True,49,white,1378,1361,5
237,True,87,white,1369,1368,6
238,True,11,white,1290,1371,9
240,True,24,white,1361,1383,1
241,True,23,white,1217,1399,4
242,True,81,white,1387,1447,5
244,True,103,white,1377,1351,4
247,False,38,white,1849,1389,5
249,True,23,white,1370,1257,6
250,True,31,white,1360,1332,5
251,False,51,white,1311,1360,4
252,False,87,white,1714,1360,6
253,True,31,white,1354,1217,5
255,False,43,white,1346,1099,6
256,True,105,white,1336,1287,4
257,False,87,white,1580,1555,2
262,False,95,white,1557,1607,5
264,False,42,white,1557,1632,7
265,True,177,white,1535,1609,11
267,True,57,white,1497,1730,2
268,True,57,white,1437,1552,5
270,True,29,white,1513,1456,5
272,True,97,white,1638,1614,6
273,True,99,white,1613,1934,11
276,True,77,white,1568,1593,6
278,True,35,white,1518,1709,5
279,True,33,white,1728,1527,8
280,True,87,white,1515,1379,4
284,True,21,white,1470,1475,4
286,False,71,white,1611,1974,18
292,True,72,white,1611,1478,4
294,True,29,white,1453,1496,2
295,True,44,white,1340,1326,2
296,True,59,white,1532,1500,3
297,True,115,white,1560,1557,6
300,True,83,white,1531,1593,7
302,True,43,white,1743,1604,6
303,True,89,white,1604,1614,8
307,False,77,white,1605,1475,1
309,False,27,white,1570,1605,7
311,False,21,white,1500,1605,9
